,customer,state,customer lifetime value,response,coverage,education,effective to date,employmentstatus,gender,income,location code,marital status,monthly premium auto,months since last claim,months since policy inception,number of open complaints,number of policies,policy type,policy,renew offer type,sales channel,total claim amount,vehicle class,vehicle size,vehicle type
0,LZ68649,Washington,14947,No,Basic,Bachelor,2/10/11,Employed,M,22139,Suburban,Single,100,34,31,0,2,Personal Auto,Personal L3,Offer3,Call Center,480,SUV,Medsize,A
1,XL78013,Oregon,22332,Yes,Extended,College,1/11/11,Employed,M,49078,Suburban,Single,97,10,3,0,2,Corporate Auto,Corporate L3,Offer2,Branch,484,Four-Door Car,Medsize,A
2,HG93801,Arizona,5154,No,Extended,High School or Below,1/2/11,Employed,M,82730,Urban,Married,127,13,31,0,1,Corporate Auto,Corporate L3,Offer2,Branch,442,SUV,Large,A
3,KR82385,California,5454,No,Basic,Master,1/26/11,Employed,M,66334,Suburban,Single,69,25,25,0,4,Personal Auto,Personal L3,Offer4,Call Center,331,Two-Door Car,Medsize,A
4,FH51383,California,5326,No,Basic,High School or Below,2/7/11,Employed,F,76717,Urban,Married,66,26,10,0,6,Personal Auto,Personal L3,Offer4,Call Center,300,Two-Door Car,Large,A
5,TR26615,Oregon,2497,No,Basic,High School or Below,1/17/11,Unemployed,M,0,Urban,Married,69,5,74,0,1,Corporate Auto,Corporate L2,Offer2,Branch,272,Two-Door Car,Medsize,A
6,ZC97968,California,2736,No,Basic,College,2/14/11,Disabled,M,17533,Suburban,Married,73,10,1,0,1,Personal Auto,Personal L3,Offer1,Agent,350,Two-Door Car,Medsize,A
7,NJ54277,California,3746,Yes,Extended,College,2/26/11,Employed,F,41479,Rural,Married,94,14,38,1,1,Personal Auto,Personal L2,Offer2,Call Center,19,Two-Door Car,Large,A
8,OM80593,California,7247,No,Basic,Bachelor,2/23/11,Unemployed,F,0,Suburban,Single,104,9,58,0,7,Personal Auto,Personal L3,Offer1,Call Center,499,SUV,Medsize,A
9,EQ62488,Oregon,15031,No,Basic,College,1/15/11,Employed,F,59456,Suburban,Married,189,11,7,0,8,Personal Auto,Personal L3,Offer2,Call Center,907,Luxury Car,Large,A
10,YK32760,Oregon,2502,No,Basic,High School or Below,2/15/11,Unemployed,M,0,Suburban,Divorced,74,26,95,1,1,Corporate Auto,Corporate L1,Offer1,Agent,355,Four-Door Car,Medsize,A
11,AY59197,Nevada,9521,No,Extended,College,1/24/11,Employed,M,27769,Rural,Married,121,24,78,0,6,Special Auto,Special L3,Offer4,Agent,123,SUV,Small,A
12,XF15789,Arizona,8869,No,Basic,College,2/21/11,Employed,F,81350,Rural,Married,110,1,28,0,9,Personal Auto,Personal L3,Offer3,Branch,228,SUV,Large,A
13,CI99444,Nevada,2926,No,Basic,College,2/22/11,Employed,F,92381,Urban,Married,72,24,27,0,1,Special Auto,Special L2,Offer2,Call Center,234,Four-Door Car,Medsize,A
14,GX19342,California,8491,No,Premium,High School or Below,1/28/11,Unemployed,F,0,Suburban,Single,116,3,97,0,3,Personal Auto,Personal L3,Offer1,Branch,1193,Four-Door Car,Large,A
15,OJ63606,Arizona,5776,No,Premium,High School or Below,1/28/11,Medical Leave,F,27510,Suburban,Married,159,5,28,3,1,Corporate Auto,Corporate L3,Offer1,Call Center,871,SUV,Small,A
16,XD72019,Oregon,8470,No,Extended,Bachelor,2/19/11,Unemployed,F,0,Suburban,Single,82,1,13,0,2,Personal Auto,Personal L2,Offer2,Web,479,Four-Door Car,Large,A
17,RR93140,California,2880,No,Basic,College,1/5/11,Employed,F,81565,Urban,Married,71,19,54,0,1,Personal Auto,Personal L2,Offer2,Branch,190,Four-Door Car,Medsize,A
18,PV62583,Nevada,9799,No,Extended,College,1/3/11,Medical Leave,M,22166,Suburban,Married,126,10,22,0,6,Personal Auto,Personal L3,Offer1,Web,604,SUV,Medsize,A
19,BL12371,Arizona,5790,No,Basic,Master,2/3/11,Employed,M,84551,Rural,Divorced,72,10,82,0,5,Personal Auto,Personal L3,Offer2,Agent,28,Four-Door Car,Large,A
20,RI22468,Arizona,5745,No,Basic,Bachelor,1/22/11,Employed,F,57740,Urban,Married,74,30,87,3,9,Personal Auto,Personal L1,Offer3,Web,269,Four-Door Car,Medsize,A
