education,gender,max,min,median
Bachelor,F,73225.95652,1904.000852,5640.505303
Bachelor,M,67907.2705,1898.007675,5548.031892
College,F,61850.18803,1898.683686,5623.611187
College,M,61134.68307,1918.1197,6005.847375
Doctor,F,44856.11397,2395.57,5332.462694
Doctor,M,32677.34284,2267.604038,5577.669457
High School or Below,F,55277.44589,2144.921535,6039.5531869999995
High School or Below,M,83325.38119,1940.981221,6286.731006
Master,F,51016.06704,2417.777032,5729.855012
Master,M,50568.25912,2272.30731,5579.0992074999995
